Category: All categories,
,
Region,skyrizi: (2/18/26 - 3/18/26)
West Virginia,100
New Hampshire,96
Illinois,92
Kentucky,85
Hawaii,85
Wisconsin,84
Iowa,83
Massachusetts,77
Pennsylvania,77
New York,76
Connecticut,75
Oregon,74
Georgia,74
Kansas,73
Arkansas,72
Ohio,71
Louisiana,70
Tennessee,70
Missouri,69
Arizona,69
Alabama,68
Virginia,68
North Carolina,68
New Jersey,66
Florida,66
South Carolina,65
Mississippi,62
Indiana,62
Minnesota,61
Oklahoma,60
Washington,59
Michigan,58
Texas,57
Maryland,56
Utah,53
Colorado,53
California,50
Nevada,48
Vermont,42
Maine,42
Montana,38
Rhode Island,35
Delaware,33
Idaho,32
South Dakota,32
North Dakota,29
Nebraska,29
District of Columbia,28
Alaska,27
New Mexico,25
Wyoming,20
